Name,Type,IsSingleValue
Betweenness Centrality,text,0
Closeness Centrality,text,0
Clustering Coefficient,text,0
Custom Menu Item Action,text,0
Custom Menu Item Text,text,0
Description,text,0
Eigenvector Centrality,text,0
Favorites,text,0
Followed,text,0
Followers,text,0
ID,text,0
Image File,text,0
In-Degree,text,0
Joined Twitter Date (UTC),text,0
Label,text,0
Layout Order,text,0
Location,text,0
louvain,categoryNumber,1
Opacity,text,0
Out-Degree,text,0
PageRank,text,0
Reciprocated Vertex Pair Ratio,text,0
Shape,text,0
Size,text,0
Time Zone,text,0
Time Zone UTC Offset (Seconds),text,0
Tooltip,text,0
Tweets,text,0
Web,text,0
X,text,0
Y,text,0
